Company,x,Member of the S&P500,Member of the Russell 1000 Index,source,Scraping code set up ?,Ticker(s),PR Agency,Example 2020 company PR agency press release URL,Domain,Company global/main press - news release site URL,Subscribed to press releases esgroadmap@gmail.com ?,Subscribed to press releases jameskijani@gmail.com ?,Plain text press release subscription possible? (yes/no),Company annual reports page URL,Company annual / financial report 2020 URL of pdf document (including 10-k),Company sustainability / ESG reports page URL,Company Sustainability / ESG report 2020 URL of pdf document,Country,NAICS #1,2017 NAICS TITLE,NAICS #2,2017 NAICS TITLE.1,NAICS #3,2017 NAICS TITLE.2,NAICS #4,2017 NAICS TITLE.3,NAICS #5,2017 NAICS TITLE.4,WORKED BY:,COMMENTS / NOTES,Carbon sentence available ?
Accenture,,yes,yes,Adobe Inc.,,ACN,Businesswire,https://www.businesswire.com/news/home/20201215005171/en/Christie-Smith-Joins-Accenture-to-Lead-the-CEO-Transformational-Change-Journey-Agenda,https://www.accenture.com/,https://newsroom.accenture.com/index.cfm?_ga=2.92724829.113225669.1596778163-2019182956.1596778163,YES,YES,NO,https://www.accenture.com/us-en/about/company/annual-report,https://www.accenture.com/_acnmedia/PDF-138/Accenture-Fiscal-2020-Annual-Report.pdf#zoom=50,https://www.accenture.com/us-en/about/responsible-business/responsible-company-citizen,https://www.accenture.com/_acnmedia/PDF-149/Accenture-United-Nations-Global-Compact-Communication-Progress-2020.pdf#zoom=40,Ireland,541511,Custom Computer Programming Services ,524114,Direct Health and Medical Insurance Carriers ,524126,Direct Property and Casualty Insurance Carriers ,524127,Direct Title Insurance Carriers ,*,*,,,0
Activision Blizzard Inc,,yes,yes,,,ATVI,Businesswire,https://www.businesswire.com/news/home/20210601006083/en/,https://www.activisionblizzard.com/home,https://investor.activision.com/press-releases,NO,NO,NO,https://investor.activision.com/annual-reports,https://investor.activision.com/static-files/09bb50e3-b2e8-4407-9ee3-2aec3c7bc29d,https://ourcommitments.activisionblizzard.com/,https://ourcommitments.activisionblizzard.com/content/dam/atvi/activisionblizzard/ab-touchui/our-commitments/FC_Activision_ESG_Report_2020_V27.pdf,United States,511210,Software Publishers,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Acuity Brands Inc,,no,yes,,,AYI,Globenewswire,https://www.globenewswire.com/news-release/2021/06/04/2241823/0/en/Acuity-Brands-and-ams-OSRAM-Reach-an-Agreement-for-Acuity-to-acquire-the-ams-OSRAM-Digital-Systems-Business-in-North-America.html,https://www.acuitybrands.com/,https://www.investors.acuitybrands.com/news-releases,YES,YES,NO,https://www.investors.acuitybrands.com/financials/annual-reports,http://media.corporate-ir.net/media_files/IROL/13/130194/AR2020/pdf/AcuityBrands_2020_AnnualReport.pdf,https://www.acuitybrands.com/who-we-are/sustainability-company,https://www.acuitybrands.com/-/media/abl/acuitybrands/files/about-us/sustainability/acuitybrandsesg20_final.pdf?forceBehavior=open,United States,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",335129,Other Lighting Equipment Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
Adaptive Biotechnologies Corp,,no,yes,,,ADPT,Globenewswire,https://www.globenewswire.com/news-release/2021/06/09/2244259/0/en/New-Study-Published-in-Nature-Provides-Further-Evidence-that-COVID-19-Vaccine-Induced-T-Cell-Response-Targets-Known-SARS-CoV-2-Variants-of-Concern.html,https://www.adaptivebiotech.com/,https://investors.adaptivebiotech.com/news-events/news-releases,YES,YES,NO,https://investors.adaptivebiotech.com/sec-filings,https://investors.adaptivebiotech.com/static-files/b404b3f8-dfe8-4e84-b977-f5d866851e2d,not available,not available,United States,541714,Research and Development in Biotechnology (except Nanobiotechnology),325414,Biological Product (except Diagnostic) Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
Adelaide Brighton Ltd,,yes,yes,Allstate,,ABC,,,http://adbri.com.au/,,YES,YES,NO,https://www.adbri.com.au/investors/results-announcements/,https://wcsecure.weblink.com.au/pdf/ABC/02344551.pdf,https://www.adbri.com.au/sustainability/sustainable-future/,https://www.adbri.com.au/wp-content/uploads/2021/03/Sustainability-Report-2020-Final-interactive.pdf,Australia,327310,Cement Manufacturing,*,*,*,*,*,*,*,*,,,0
Adobe Inc.,,yes,yes,Alphabet Inc.,,ADBE,Businesswire,http://www.businesswire.com/news/home/20201210005251/en/Adobe-Outlines-Growth-Opportunities-at-Financial-Analyst-Meeting,https://www.adobe.com/,https://news.adobe.com/home/default.aspx,YES,YES,NO,https://www.adobe.com/investor-relations/financial-documents.html,https://www.adobe.com/content/dam/cc/en/investor-relations/pdfs/ADBE-10K-FY20-FINAL.pdf,https://www.adobe.com/investor-relations.html,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2020.pdf,United States,511210,Software Publishers,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",511210,Software Publishers,*,*,*,*,,,0
ADT Inc,,no,yes,,,ADT,Globenewswire,https://www.globenewswire.com/en/news-release/2021/05/05/2223863/0/en/ADT-Reports-First-Quarter-2021-Results.html,https://www.adt.com/,https://investor.adt.com/press-releases/default.aspx,YES,YES,NO,https://investor.adt.com/financials/annual-reports-and-proxies/default.aspx,https://s22.q4cdn.com/631128414/files/doc_financials/2021/ar/ADT-Inc-10-K-12-31-2020-Final-Filed-Version-Filed-2.25.21.pdf,https://investor.adt.com/governance/Sustainability/default.aspx,https://s22.q4cdn.com/631128414/files/doc_downloads/2021/04/ADT-2020-SASB-Index-Report.pdf,United States,561621,Security Systems Services (except Locksmiths) ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Advance Auto Parts Inc.,,yes,yes,,,AAP,Businesswire,https://www.businesswire.com/news/home/20210610005255/en/,https://shop.advanceautoparts.com/,https://ir.advanceautoparts.com/investors/news-and-events/press-releases/default.aspx,YES,YES,NO,https://ir.advanceautoparts.com/investors/financials/annual-reporting-material/default.aspx,https://s27.q4cdn.com/393295335/files/doc_downloads/384726-Advance-Auto-Parts-AR-WR.pdf,https://esg.advanceauto.us/Home/default.aspx,https://online.flippingbook.com/view/459148139/,United States,441310,Automotive Parts and Accessories Stores ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Advanced Micro Devices Inc.,,yes,yes,,,AMD,Globenewswire,https://www.globenewswire.com/news-release/2021/06/10/2245277/0/en/AMD-EPYC-Processors-Enable-Next-Generation-of-Hewlett-Packard-Enterprise-Storage.html,https://www.amd.com/en,https://ir.amd.com/news-events/press-releases,YES,YES,NO,https://ir.amd.com/sec-filings/filter/annual-filings,https://ir.amd.com/sec-filings/content/0001628280-21-001185/0001628280-21-001185.pdf,https://www.amd.com/en/corporate-responsibility,https://www.amd.com/system/files/documents/2020-21-global-cr-report-summary.pdf,United States,334413,Semiconductor and Related Device Manufacturing ,334112,Computer Storage Device Manufacturing ,*,*,*,*,*,*,LILYD - S&P,,0
Aecom,,no,yes,,,ACM,Businesswire,https://www.businesswire.com/news/home/20210630005319/en/,https://aecom.com/,https://investors.aecom.com/corporate-releases,YES,YES,NO,https://investors.aecom.com/financial-information/annual-reports,https://investors.aecom.com/static-files/42925030-9c9f-4f6d-aebf-5169648ef124,https://investors.aecom.com/esg,https://investors.aecom.com/static-files/5da0301d-574c-4200-a2ca-0b743c2b1f74,United States,541310,Architectural Services,541330,Engineering Services,*,*,*,*,*,*,LILYD - Russell,,0
AES Corporation,,yes,yes,,,AES,PRNewswire,https://www.prnewswire.com/news-releases/aes-announces-more-than-1-gw-of-coal-retirements-in-chile-301326462.html,http://www.aes.com/,https://www.aes.com/press-releases,YES,YES,NO,https://www.aes.com/investors/reports-filings/financial-reports-summary,https://s26.q4cdn.com/697131027/files/doc_financials/2020/ar/AES-2020-AR.pdf,https://www.aes.com/sustainability,not available,United States,221118,Other Electric Power Generation ,221122,Electric Power Distribution ,*,*,*,*,*,*,LILYD - S&P,,0
Affiliated Managers Grp,,no,yes,,,AMG,Globenewswire,https://www.globenewswire.com/news-release/2021/07/06/2258207/0/en/AMG-and-Parnassus-Investments-Announce-Partnership.html,https://www.amg.com/,https://ir.amg.com/news-releases,NO,NO,NO,https://ir.amg.com/annual-reports,https://ir.amg.com/static-files/31e990db-9c0d-49d3-934c-035efaf02a26,not available,not available,United States,525910,Open-End Investment Funds ,523930,Investment Advice ,*,*,*,*,*,*,LILYD - Russell,,0
Aflac Incorporated,,yes,yes,,,AFL,PRNewswire,http://www.prnewswire.com/news-releases/statement-from-aflac-us-president-teresa-l-white-on-the-impact-of-juneteenth-national-independence-day-301315667.html,http://www.aflac.com/,https://investors.aflac.com/press-releases/default.aspx,YES,YES,NO,https://investors.aflac.com/financials/annual-reports-and-proxy/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004977/1173e4b5-469f-41f2-94d5-a31ef7c665d0.pdf,https://esg.aflac.com/,https://esg.aflac.com/pdfs/AflacInc-index.pdf,United States,524113,Direct Life Insurance Carriers ,524114,Direct Health and Medical Insurance Carriers ,*,*,*,*,*,*,LILYD - S&P,,1
Agco Corp,,no,yes,,,AGCO,Businesswire,https://www.businesswire.com/news/home/20210708005078/en/,https://www.agcocorp.com/,https://investors.agcocorp.com/news-releases/news-release-details/agco-announces-2021-second-quarter-earnings-release-and,YES,YES,NO,https://investors.agcocorp.com/financial-information/annual-reports,https://investors.agcocorp.com/static-files/dde17fd9-4fca-4bb0-b77a-baf80115f3bd,https://www.agcocorp.com/commitment/sustainability.html,https://www.agcocorp.com/content/dam/agcocorp/ourcommitment/Sustainability/AGCO-2020-Sustainability-Report.pdf/_jcr_content/renditions/original,United States,333111,Farm Machinery and Equipment Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Agilent Technologies Inc.,,yes,yes,,,A,Businesswire,https://www.businesswire.com/news/home/20210614005189/en/,https://www.agilent.com/,https://www.investor.agilent.com/news-and-events/news/default.aspx,YES,YES,YES,https://www.investor.agilent.com/financials/annual-reports/default.aspx,https://s24.q4cdn.com/305549747/files/doc_financials/2020/ar/A-10.31.2020-10K(publish-version)-Printable_PDF.pdf,https://www.agilent.com/about/companyinfo/sustainability/,https://www.agilent.com/about/companyinfo/sustainability/Agilent-Report-CSR-2020.pdf,United States,541380,Testing Laboratories,334516,Analytical Laboratory Instrument Manufacturing ,*,*,*,*,*,*,LILYD - S&P,,0
Agios Pharmaceuticals,,no,yes,,,AGIO,Globenewswire,https://www.globenewswire.com/news-release/2021/06/28/2253742/31990/en/Agios-Submits-Marketing-Authorisation-Application-to-European-Medicines-Agency-for-Mitapivat-for-Treatment-of-Adults-with-Pyruvate-Kinase-Deficiency.html,https://www.agios.com/,https://investor.agios.com/news-releases/,YES,YES,NO,https://investor.agios.com/financial-information/annual-reports,https://investor.agios.com/static-files/93338e5b-8fd5-446c-9653-a1ee94ca703d,not available,https://www.agios.com/wp-content/uploads/2020/05/Agios-ESG-Report-2020.pdf,United States,325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
AGL Energy Limited,,no,no,Altria Group,,AGL,,,http://www.agl.com.au/,https://www.agl.com.au/about-agl/media-centre,YES,YES,NO,https://www.agl.com.au/about-agl/investors/annual-reports,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/media-centre/2020/202097212-agl-annual-report-2020.pdf,https://www.2020datacentre.agl.com.au/,not available,Australia,221118,Other Electric Power Generation ,*,*,*,*,*,*,*,*,,,0
Agnc Investment,,no,yes,,,AGNC,PRNewswire,https://www.prnewswire.com/news-releases/agnc-investment-corp-declares-monthly-common-stock-dividend-of-0-12-per-common-share-for-july-2021--301328275.html,https://agnc.com/,https://ir.agnc.com/news-releases/news-release-details/agnc-investment-corp-declares-monthly-common-stock-dividend-61,YES,YES,NO,https://ir.agnc.com/annual-reports,https://ir.agnc.com/static-files/41097bff-0c18-4bcc-a4ab-164a6818a670,https://agnc.com/corporate-responsibility/,https://ir.agnc.com/2020esg-report,United States,523120,Securities Brokerage ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Air Lease Corp,,no,yes,,,AL,Businesswire,https://www.businesswire.com/news/home/20210709005083/en/Air-Lease-Corporation-Activity-Update-for-the-Second-Quarter-of-2021,https://airleasecorp.com/,https://airleasecorp.com/press,YES,YES,NO,https://airleasecorp.com/investors,https://d17avvkqn7yvpt.cloudfront.net/s3_airleasecorp/documents/131206_004_Web_BMK.pdf,https://airleasecorp.com/corporate-responsibility,https://d17avvkqn7yvpt.cloudfront.net/s3_airleasecorp/social_responsibility/Air_Lease_Corporate_Social_Responsibility_Report_2020_v2.pdf,United States,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",*,*,*,*,*,*,*,*,LILYD - Russell,,0
Air Products and Chemicals Inc.,,yes,yes,,,APD,,,https://www.airproducts.com/,https://www.airproducts.com/company/news-center,YES,YES,NO,https://investors.airproducts.com/annual-reports,https://investors.airproducts.com/static-files/cbaba120-4831-42a9-a996-95670a4d7b01,https://www.airproducts.com/company/sustainability?_ga=2.179474532.1933731142.1636204750-1706156628.1636204750#/,https://www.airproducts.com/-/media/airproducts/files/en/900/900-20-008-us-sustainability-report-2020.pdf,United States,424690,Other Chemical and Allied Products Merchant Wholesalers ,325120,Industrial Gas Manufacturing,325199,All Other Basic Organic Chemical Manufacturing ,325180,Other Basic Inorganic Chemical Manufacturing ,*,*,LILYD - S&P,,0
Airbus Group,,no,no,Amazon.com,,AIR,,,https://www.airbus.com/,https://www.airbus.com/search.news.html?newsroom=true,YES,YES,NO,https://www.airbus.com/en/investors/financial-results-annual-reports,https://www.airbus.com/sites/g/files/jlcbta136/files/2021-07/Full%20-Report-Airbus-SE-Annual-Report-2020.pdf,https://www.airbus.com/en/sustainability,not available,Netherlands,336411,Aircraft Manufacturing ,*,*,*,*,*,*,*,*,,,0
Akamai Technologies Inc.,,yes,yes,,,AKAM,PRNewswire,http://www.prnewswire.com/news-releases/video-game-industry-faced-highest-growth-in-cyberattacks-during-pandemic-301317795.html,http://www.akamai.com/,https://www.ir.akamai.com/press-releases,YES,YES,NO,https://www.ir.akamai.com/financial-information/annual-reports,https://www.ir.akamai.com/static-files/b46f4109-4c26-4368-bb18-5ff58dddb62a,https://www.akamai.com/company/corporate-responsibility/sustainability,https://www.akamai.com/content/dam/site/en/documents/sustainability/2020-akamai-sustainability-report.pdf,United States,518210,"Data Processing, Hosting, and Related Services",541511,Custom Computer Programming Services ,*,*,*,*,*,*,LILYD - S&P,,0
Alaska Air Group Inc.,,yes,yes,,,ALK,PRNewswire,https://www.prnewswire.com/news-releases/alaska-air-group-to-announce-financial-results-301323796.html,http://alaskaair.com/,https://investor.alaskaair.com/news-release?field_nir_news_date_value%5Bmin%5D=2021#views-exposed-form-widget-news-table,YES,YES,NO,https://investor.alaskaair.com/financial-information/annual-reports,https://investor.alaskaair.com/static-files/676042ac-140c-4143-9f41-4139632eb056,https://investor.alaskaair.com/,https://www.alaskaair.com/-/media/F3A20F949A0F4B8BA7F74F0164A1AF94,United States,481111,Scheduled Passenger Air Transportation ,*,*,*,*,*,*,*,*,LILYD - S&P,,1
Albemarle Corporation,,yes,yes,,,ALB,PRNewswire,https://www.prnewswire.com/news-releases/albemarle-establishes-battery-materials-innovation-center-in-north-carolina-301323566.html,http://www.albemarle.com/,https://investors.albemarle.com/press-releases,YES,YES,NO,https://investors.albemarle.com/financial-information/annual-reports,https://investors.albemarle.com/static-files/079a93de-6a90-4057-92da-9ab7cf9b2c3b,https://www.albemarle.com/sustainability,https://www.albemarle.com/storage/wysiwyg/alb_sr_2020_final_175dpi_new.pdf,United States,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,424690,Other Chemical and Allied Products Merchant Wholesalers ,*,*,*,*,*,*,LILYD - S&P,,1
Alexandria Real Estate Equities Inc.,,yes,yes,,,ARE,PRNewswire,http://www.prnewswire.com/news-releases/alexandria-real-estate-equities-inc-announces-closing-of-public-offering-of-7-000-000-shares-of-common-stock-301314965.html,http://www.are.com/,https://investor.are.com/news-events-and-webcasts/news/default.aspx?iid=111908,YES,YES,NO,https://investor.are.com/financial-information/annual-reports/default.aspx,https://s2.q4cdn.com/884574073/files/Annual-Report.pdf,https://www.are.com/sustainability.html,https://www.are.com/cr/AREESG2020.pdf,United States,531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,531210,Offices of Real Estate Agents and Brokers,*,*,*,*,*,*,LILYD - S&P,,0
Alexion Pharmaceuticals Inc.,,yes,yes,,,ALXN,Businesswire,https://www.businesswire.com/news/home/20210611005037/en/,https://alexion.com/,https://ir.alexion.com/news-media/press-releases,NO,NO,NO,https://ir.alexion.com/financial-information/annual-reports,https://ir.alexion.com/static-files/ac6fa163-ead8-4110-8ee2-b2a807a96add,https://csr.alexion.com/,https://csr.alexion.com/2020-alexion-csr-report.pdf,United States,541714,Research and Development in Biotechnology (except Nanobiotechnology),325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,LILYD - S&P,,0
Align Technology Inc.,,yes,yes,,,ALGN,Globenewswire,https://www.globenewswire.com/news-release/2021/06/17/2248963/9043/en/Align-Technology-Honors-10-Million-Invisalign-Smiles-Milestone-With-US-1-Million-to-Operation-Smile-for-Children-Born-With-Cleft-Lip-And-Cleft-Palate.html,https://www.aligntech.com/,https://investor.aligntech.com/company-information/news-release,YES,YES,NO,https://investor.aligntech.com/financial-information/annual-report,https://investor.aligntech.com/static-files/a1add55d-f7ce-4ee8-b020-03ef89575982,https://www.aligntech.com/about/corporate_social_responsibility,not available,United States,339114,Dental Equipment and Supplies Manufacturing ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Alkermes Plc,,no,yes,,,ALKS,PRNewswire,https://www.prnewswire.com/news-releases/alkermes-presented-new-data-analysis-on-healthcare-resource-use-among-veterans-with-alcohol-dependence-301322739.html,https://www.alkermes.com/,https://investor.alkermes.com/news-releases/news-release-details/alkermes-presented-new-data-analysis-healthcare-resource-use,YES,YES,NO,https://investor.alkermes.com/annual-reports,https://investor.alkermes.com/static-files/63afe717-6319-483e-b9b8-09b2526335ea,https://www.alkermes.com/responsibility#csr,https://www.alkermes.com/getattachment/538719c4-6b53-4a39-a04b-1d9768ac76f6/alkermes_csr-report-2020.pdf,United States,325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Alleghany Corp,,no,yes,,,Y,PRNewswire,http://www.prnewswire.com/news-releases/alleghany-capital-corporation-announces-formation-of-piedmont-manufacturing-group-llc-and-its-acquisition-of-wilbert-inc-301288519.html,https://www.alleghany.com/home/default.aspx,https://www.alleghany.com/investor-relations/press-releases/press-release-details/2021/Alleghany-Capital-Corporation-Announces-Formation-Of-Piedmont-Manufacturing-Group-LLC-And-Its-Acquisition-Of-Wilbert-Inc/default.aspx,YES,YES,NO,https://www.alleghany.com/investor-relations/financial-results/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000775368/67a826a5-f7c1-438d-9d62-c43bbfbc985b.pdf,https://sustainability.alleghany.com/,https://sustainability.alleghany.com/reader/1,United States,524210,Insurance Agencies and Brokerages ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
